legacy_dataset,legacy_position,question,alternatives_json,answer_index,explanation,legal_status,source_sha256
diQs,1,O que caracteriza o REFÚGIO no direito internacional público?,"[""Proteção a quem foge por motivos políticos, garantindo segurança em outro país"", ""Autorização para um país invadir outro em caso de conflito interno"", ""Permissão para viajar livremente sem restrições entre países"", ""Medida para expulsar estrangeiros considerados indesejados""]",0,"O refúgio protege quem é forçado a fugir por razões como guerra, perseguição por raça, religião, nacionalidade, grupo social ou opinião política. Diferente do asilo, restrito a perseguição política individual.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,2,"No alto mar, qual é a regra vigente para embarcações estrangeiras?","[""Proibição de navegação sem autorização da ONU"", ""Vigora o princípio da liberdade, mas com restrições como combate ao tráfico de drogas"", ""As águas são divididas por linhas entre litorais e centro do oceano"", ""O Estado mais próximo tem jurisdição exclusiva""]",1,"No alto mar vigora a liberdade de navegação para qualquer bandeira. Exceções incluem combate a crimes internacionais como tráfico de drogas e pirataria, onde navios de guerra podem intervir.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,3,O que caracteriza as ÁGUAS EXTERNAS no direito internacional público?,"[""Águas dentro das fronteiras, sob jurisdição exclusiva do país"", ""Águas além das territoriais, mas ainda com direitos específicos do Estado costeiro"", ""Águas além da jurisdição de qualquer país"", ""Águas pertencentes exclusivamente à ONU""]",1,"Águas externas (Zona Contígua e ZEE) ficam além do mar territorial, mas conferem direitos específicos ao Estado: fiscalização na Zona Contígua, exploração econômica na ZEE.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,4,"Sobre o IUS IN BELLO, qual afirmativa está CORRETA?","[""O corso é atividade de espionagem entre Estados em beligerância"", ""Hipóteses legítimas de guerra são legítima defesa e manutenção da ordem pública"", ""São crimes internacionais o uso de ADM e o ataque surpresa em fronteiras abertas"", ""A comunidade internacional condena o uso de armas sem alvo definido""]",3,"O ius in bello regula a conduta durante o conflito. O uso de armas sem alvo definido (minas antipessoal, certas armas químicas) é vedado por causar sofrimento indiscriminado.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,5,"O Brasil NUNCA extradita qual categoria de pessoas, de forma absolutamente incondicional?","[""Estrangeiros com filhos brasileiros"", ""Brasileiros naturalizados"", ""Brasileiros natos"", ""Asilados políticos""]",2,"Brasileiros natos têm garantia constitucional absoluta de não extradição (art. 5º, LI CF). Naturalizados têm exceções: crimes antes da naturalização ou tráfico de drogas.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,6,Um turista fica 200 dias no Brasil com visto de 90 dias. Qual medida se aplica?,"[""Repatriação"", ""Expulsão"", ""Extradição"", ""Deportação""]",3,Deportação: medida para estrangeiro em situação irregular (entrada ou permanência). Repatriação é antes de entrar; expulsão exige crime; extradição é pedido de outro Estado.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,7,O 'Princípio da Dupla Tipicidade' na extradição significa que:,"[""O crime foi cometido duas vezes pelo mesmo autor"", ""O extraditando tem duas nacionalidades"", ""O fato deve ser crime tanto no Brasil quanto no país requerente"", ""Dois Estados pedem a extradição simultaneamente""]",2,"Dupla tipicidade: se a conduta não for crime no Brasil, a pessoa não é entregue, mesmo que seja crime gravíssimo no exterior.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,8,A Corte Interamericana de Direitos Humanos tem sede em:,"[""Washington D.C., EUA"", ""Nova York, EUA"", ""Brasília, Brasil"", ""San José, Costa Rica""]",3,"A Corte IDH fica em San José, Costa Rica. A Comissão Interamericana fica em Washington D.C. São órgãos distintos: a Comissão filtra e recomenda; a Corte julga e condena.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,9,"Qual é a faixa do mar territorial, onde o Estado tem soberania plena?","[""0 a 24 milhas"", ""0 a 200 milhas"", ""0 a 12 milhas"", ""12 a 24 milhas""]",2,"Mar territorial: 12 milhas — soberania plena sobre solo, subsolo, água e espaço aéreo. Zona Contígua: 12-24 milhas (fiscalização). ZEE: até 200 milhas (exploração econômica).",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,10,A pirataria em alto mar tem característica única no DI. Qual é ela?,"[""Só pode ser combatida pela ONU"", ""É o primeiro crime de jurisdição universal — qualquer Estado pode capturar e julgar piratas"", ""Apenas o país da bandeira da embarcação atacada pode agir"", ""Regulada exclusivamente pelos EUA como potência naval""]",1,"Pirataria é o primeiro crime de jurisdição universal: qualquer Estado, independente de vínculo com as partes, pode capturar navios piratas no alto mar e julgá-los.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,11,O Mercosul é juridicamente classificado como:,"[""Mercado Comum completo"", ""União Econômica e Monetária"", ""União Aduaneira imperfeita (intergovernamental)"", ""Zona de Livre Comércio simples""]",2,"Apesar do nome, o Mercosul está na fase de União Aduaneira imperfeita. É intergovernamental: decisões precisam de consenso unânime e ratificação interna de cada país.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,12,A DUDH (1948) nasceu como:,"[""Tratado vinculante com força de lei imediata"", ""Resolução da Assembleia Geral da ONU, sem força de tratado originalmente"", ""Convenção ratificada obrigatoriamente por todos os fundadores da ONU"", ""Emenda à Carta da ONU""]",1,"A DUDH nasceu como resolução (não vinculante), mas hoje é considerada norma costumeira e ius cogens (norma imperativa do direito internacional).",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,13,O asilo diplomático é concedido em:,"[""Dentro do território do país asilante"", ""Embaixadas e navios de guerra oficiais"", ""Apenas em cidades sede da ONU"", ""Pelo STF após pedido formal""]",1,Asilo diplomático é concedido em repartições diplomáticas (embaixadas) e embarcações oficiais. É provisório — negocia-se salvo-conduto para o asilado chegar ao país protetor.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,14,Qual NÃO é princípio fundamental do Direito Comunitário Europeu?,"[""Primazia"", ""Efeito Direto"", ""Aplicabilidade Imediata"", ""Reciprocidade Obrigatória""]",3,"Os três princípios são: Primazia, Efeito Direto e Aplicabilidade Imediata. Reciprocidade pertence ao DI clássico, não ao comunitário.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,15,Um estrangeiro entrou no Brasil com 8 anos e vive aqui desde então. Pode ser expulso?,"[""Sim, se cometer crime hediondo"", ""Não — quem entrou com até 12 anos e reside aqui desde então está protegido"", ""Sim, com autorização judicial do STF"", ""Apenas se não tiver cônjuge ou filhos brasileiros""]",1,A Lei 13.445/17 proíbe expressamente a expulsão de estrangeiro que ingressou no Brasil com até 12 anos de idade e aqui reside desde então — independente do crime.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,16,A 'entrega' (surrender) ao TPI difere da extradição porque:,"[""Entrega só ocorre para crimes políticos"", ""Na entrega, até brasileiros natos podem ser entregues ao TPI"", ""A entrega não exige processo judicial"", ""A entrega só ocorre entre países latino-americanos""]",1,"O art. 5º §4º CF submete o Brasil ao TPI. A entrega pode alcançar qualquer pessoa, inclusive brasileiros natos — pois é entrega a um tribunal internacional, não a outro Estado.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,17,"Na ZEE, qual é o direito do Estado costeiro?","[""Soberania plena sobre qualquer atividade"", ""Apenas fiscalização aduaneira e sanitária"", ""Exploração econômica exclusiva dos recursos naturais (pesca, petróleo)"", ""Proibição total de navegação estrangeira""]",2,A ZEE (12–200 milhas) garante ao Estado exploração econômica exclusiva dos recursos. Não é soberania plena — navios e aeronaves estrangeiras têm liberdade de navegação e sobrevoo.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,18,Os Canais de Suez e do Panamá têm qual natureza jurídica?,"[""Domínio público internacional — uso gratuito"", ""Patrimônio da ONU gerido pela IMO"", ""Domínio privado dos Estados onde estão — regulam e cobram pedágio"", ""Zonas neutras sob controle conjunto de potências""]",2,"Canais artificiais são domínio privado do Estado territorial. O Egito controla Suez; o Panamá controla o Canal do Panamá. Diferem dos estreitos naturais, que são domínio público.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,19,O que é o Princípio da Reciprocidade na extradição?,"[""O extraditando deve ser tratado com dignidade"", ""O Brasil só extradita se o outro país se comprometer a fazer o mesmo no futuro"", ""Ambos os países devem ter o mesmo sistema jurídico"", ""O crime deve ter vítimas nos dois países""]",1,"Reciprocidade: na ausência de tratado formal, o Brasil extradita se o Estado requerente prometer tratamento recíproco em casos futuros.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,20,"Sobre a condição jurídica do estrangeiro, marque a CORRETA:","[""Extradição exclui estrangeiro por entrada ou permanência irregular"", ""O Brasil proíbe extradição dissimulada — entrega informal sem processo legal perante o STF"", ""Expulsão e extradição são institutos similares, diferenciando só no ilícito penal"", ""Estrangeiro barrado na entrada por condição irregular é deportado""]",1,O Brasil proíbe extradição dissimulada (entrega informal à margem da lei). A opção A descreve deportação. A D descreve repatriação. Expulsão e extradição são institutos distintos.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,21,O que NÃO é novidade da Lei de Imigração (Lei 13.445/17)?,"[""O visto humanitário"", ""A proteção mais humanista dos estrangeiros"", ""A proibição de extradição dissimulada"", ""O fim da expulsão por atividade nociva""]",2,"A proibição de extradição dissimulada já existia antes da Lei 13.445/17. Visto humanitário, proteção ampliada ao migrante e extinção da expulsão por 'atividade nociva' são novidades da lei.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,22,"Sobre o asilo político, qual afirmativa está CORRETA?","[""Asilo diplomático só é possível com autorização do Estado onde está a embaixada"", ""O asilo é direito de todo perseguido político, garantido por tratados"", ""Asilo territorial = embaixadas; exílio = território do Estado que o concede"", ""Salvo-conduto é negociado com o Estado perseguidor para saída segura do asilado""]",3,O salvo-conduto é negociado pelo Estado asilante com o Estado perseguidor para garantir passagem segura do asilado até o território protetor. Asilo não é direito absoluto — é ato discricionário.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,23,Qual afirmativa sobre Domínio Público Internacional está CORRETA?,"[""A plataforma continental geológica é terra submersa até onde se inicia o mar profundo; a legal é definida em milhas com a ONU"", ""No alto mar há zonas preferenciais da ONU para neutralidade e controle estratégico"", ""EUA reivindicam a Antártida pela teoria da descoberta"", ""Oceanos são divididos por linhas entre pontas dos litorais e centro""]",0,A plataforma continental geológica é o prolongamento natural do território sob o mar. A plataforma legal pode ser negociada com a ONU. Nenhum país tem direito reconhecido sobre a Antártida.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,24,"Sobre os mecanismos de solução de conflitos internacionais, qual está CORRETA?","[""Arbitragem internacional nasce da CIJ e aplica o DIP"", ""Bons ofícios implica proposta de solução por Estado neutro"", ""Sistema de Consultas institucionaliza solução preventiva com mecanismo preestabelecido"", ""Países em conflito submetem a questão ao CS da ONU como mediador""]",2,"O Sistema de Consultas é mecanismo preventivo: países se reúnem periodicamente para resolver divergências antes que virem conflitos graves. Bons ofícios apenas reaproxima, sem propor soluções.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,25,"Sobre o direito comunitário, o que NÃO podemos afirmar?","[""UE/Mercosul gerará zona de livre comércio nos termos atuais"", ""NAFTA é zona de livre comércio entre EUA e Canadá"", ""Mercosul é Zona de Preferências Aduaneiras por ter TEC"", ""UE é mais que Mercado Comum, com moeda única e banco central""]",2,"O Mercosul TEM TEC (Tarifa Externa Comum) → classifica-se como União Aduaneira, não Zona de Preferências Aduaneiras. O NAFTA (USMCA) inclui também o México.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,26,"Sobre vistos no Brasil, qual está CORRETA?","[""Visto de trânsito é para turistas"", ""Visto de imigrante é definitivo"", ""Visto de visita serve para turistas"", ""Visto humanitário é somente para períodos de guerra""]",2,"O visto de visita (antes chamado de turismo) é destinado a estadias curtas: turismo, negócios, eventos. O de imigrante não é definitivo — requer renovação. O humanitário atende qualquer vulnerabilidade extrema.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,27,"Sobre extradição, o que NÃO podemos afirmar?","[""Só é possível mediante tratado entre os países"", ""Depende da detração da pena no Brasil"", ""Brasileiros naturalizados podem ser extraditados em casos excepcionais"", ""Exige dupla tipicidade (fato deve ser crime nos dois países)""]",0,A extradição NÃO exige obrigatoriamente tratado — pode ocorrer pelo Princípio da Reciprocidade (promessa de tratamento recíproco). Afirmar que 'só é possível mediante tratado' é FALSO.,legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,28,O que é o ius ad bellum?,"[""Regras que devem ser seguidas durante o combate"", ""O direito de iniciar um conflito armado — hoje praticamente banido"", ""A autorização da ONU para operações de paz"", ""A jurisdição penal internacional para crimes de guerra""]",1,"Ius ad bellum = direito de iniciar guerra. Após a Carta da ONU (1945), é praticamente banido — apenas legítima defesa e autorização do Conselho de Segurança justificam o uso da força.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,29,"Na estrutura do Sistema Interamericano, quem pode levar um caso à Corte IDH?","[""Qualquer cidadão prejudicado diretamente"", ""Qualquer ONG de direitos humanos"", ""Apenas a Comissão Interamericana ou Estados-Membros"", ""Apenas o MP do país violador""]",2,"O cidadão NÃO acessa a Corte diretamente. Ele denuncia à Comissão; se o Estado descumprir as recomendações, a Comissão (ou outro Estado) leva à Corte.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
diQs,30,O que é o 'salvo-conduto' no contexto do asilo diplomático?,"[""Documento que naturaliza o asilado no país protetor"", ""Garantia negociada com o Estado perseguidor para saída segura do asilado diplomático"", ""Autorização da ONU para o Estado acolher refugiados"", ""Decisão judicial que impede a extradição do asilado""]",1,"O salvo-conduto é negociado entre o Estado asilante (que protege na embaixada) e o Estado perseguidor, para garantir a passagem segura do asilado até o território do país protetor.",legacy_unverified,3ca391d210e5edca9c8a05d42399c3010b915d32392dd0ca72230fb8dc2b3733
